name,whi,bla,his,asi,oth
A,0.7295936713412442,0.21071556993887092,0.01917775380558552,0.02133525110871389,0.01917775380558552
AABIDA,0,0,0,0.56,0.44
AADAM,0.16071428571428573,0.42857142857142855,0,0.25,0.16071428571428573
AADIL,0.109375,0.2265625,0,0.578125,0.0859375
AADITYA,0,0,0,0.8125,0.1875
AADRON,0.44,0.56,0,0,0
AAGE,1,0,0,0,0
AAHIL,0,0.11627906976744186,0,0.6511627906976745,0.23255813953488372
AAHRON,0.28,0.56,0.16,0,0
AAILYAH,0,0.8275862068965517,0.16091954022988506,0,0.011494252873563218
AAISHA,0.08333333333333333,0.7239583333333334,0,0.09375,0.09895833333333333
AAJA,0,1,0,0,0
AAJAH,0,1,0,0,0
AAKASH,0.0228310502283105,0.01141552511415525,0.01598173515981735,0.815068493150685,0.13470319634703196
AAKEEM,0,1,0,0,0
AAKILAH,0,1,0,0,0
AALAYAH,0.043859649122807015,0.956140350877193,0,0,0
AALEEYAH,0,0.8333333333333334,0,0.16666666666666666,0
AALEIGHA,0.48484848484848486,0.21212121212121213,0.12121212121212122,0,0.18181818181818182
AALEYAH,0.06432748538011696,0.9064327485380117,0.023391812865497075,0,0.005847953216374269
AALIA,0.1076923076923077,0.3230769230769231,0,0.36153846153846153,0.2076923076923077
AALIAH,0.11428571428571428,0.6428571428571429,0.11428571428571428,0.02857142857142857,0.1
AALIAYAH,0,1,0,0,0
AALIJAH,0,0.9761904761904762,0,0,0.023809523809523808
AALIM,0,0.5957446808510638,0,0,0.40425531914893614
AALISHA,0,0.7777777777777778,0,0.2222222222222222,0
AALIYA,0.14795918367346939,0.7091836734693877,0.025510204081632654,0.08673469387755102,0.030612244897959183
AALIYAH,0.04926905132192846,0.8747744945567651,0.03253499222395023,0.00447900466562986,0.038942457231726284
AALIYAHA,0,0.7352941176470589,0.058823529411764705,0,0.20588235294117646
AALIYAN,0,0.8428571428571429,0.12857142857142856,0.014285714285714285,0.014285714285714285
AALIYHA,0.07194244604316546,0.8992805755395683,0.02877697841726619,0,0
AALLIYAH,0.03488372093023256,0.9418604651162791,0,0,0.023255813953488372
AALLYAH,0,0.8813559322033898,0.11864406779661017,0,0
AALOK,0.14583333333333334,0,0,0.6041666666666666,0.25
AALTJE,1,0,0,0,0
AALYAH,0.019230769230769232,0.8269230769230769,0.08653846153846154,0,0.0673076923076923
AALYIAH,0.06060606060606061,0.9090909090909091,0.015151515151515152,0,0.015151515151515152
AALYSSA,0.3333333333333333,0.6666666666666666,0,0,0
AAMANI,0,0.59375,0,0.171875,0.234375
AAMARI,0.045454545454545456,0.9090909090909091,0,0,0.045454545454545456
AAMBER,0.45161290322580644,0.5483870967741935,0,0,0
AAMER,0.05737704918032787,0.01639344262295082,0,0.5901639344262295,0.3360655737704918
AAMINA,0.125,0.5535714285714286,0.07142857142857142,0.125,0.125
AAMINAH,0.056818181818181816,0.7045454545454546,0,0.20454545454545456,0.03409090909090909
AAMIR,0.045171339563862926,0.24766355140186916,0.004672897196261682,0.6308411214953271,0.07165109034267912
AAMIRA,0,0.8888888888888888,0,0.1111111111111111,0
AAMIRAH,0,1,0,0,0
AAMNA,0.06578947368421052,0.06578947368421052,0,0.6842105263157895,0.18421052631578946
AAMON,0.16279069767441862,0.8372093023255814,0,0,0
AANAL,0,0,0,0.9285714285714286,0.07142857142857142
AANCHAL,0,0,0,0.5675675675675675,0.43243243243243246
AANISAH,0,0.7454545454545455,0,0,0.2545454545454545
AANIYA,0,1,0,0,0
AANIYAH,0.020618556701030927,0.979381443298969,0,0,0
AANYA,0.05454545454545454,0.2727272727272727,0,0.509090909090909,0.16363636363636364
AAPRI,0,0.967741935483871,0,0,0.03225806451612903
AAQILA,0,0.7777777777777778,0,0.2222222222222222,0
AARA,0.40350877192982454,0.38596491228070173,0,0.21052631578947367,0
AARAN,0.6375838926174496,0.2348993288590604,0,0.08053691275167785,0.04697986577181208
AARATI,0,0,0,0.86,0.14
AAREN,0.5711678832116789,0.35766423357664234,0.03467153284671533,0.03467153284671533,0.0018248175182481751
AAREON,0.1188118811881188,0.801980198019802,0.06930693069306931,0,0.009900990099009901
AARIAL,0.375,0.5625,0.0625,0,0
AARIAN,0.12837837837837837,0.7905405405405406,0,0,0.08108108108108109
AARIANA,0.07272727272727272,0.7090909090909091,0.12727272727272726,0,0.09090909090909091
AARIANNA,0.15,0.85,0,0,0
AARIC,0.46511627906976744,0.46511627906976744,0.023255813953488372,0.046511627906976744,0
AARICA,0.38613861386138615,0.5247524752475248,0,0,0.0891089108910891
AARICK,0.4634146341463415,0.3170731707317073,0,0,0.21951219512195122
