name,whi,bla,his,asi,oth
A,0.04285714285714286,0.02142857142857143,0,0.6928571428571428,0.24285714285714285
AAB,1,0,0,0,0
AABEL,0.8888888888888888,0,0.1111111111111111,0,0
AABERG,0.9401709401709402,0,0,0,0.05982905982905983
AABYE,1,0,0,0,0
AACH,1,0,0,0,0
AADAHL,1,0,0,0,0
AADIL,0.42857142857142855,0.5714285714285714,0,0,0
AADLAND,1,0,0,0,0
AADNESEN,1,0,0,0,0
AADSON,1,0,0,0,0
AAGAARD,1,0,0,0,0
AAGARD,0.8679245283018868,0,0,0,0.1320754716981132
AAGESEN,1,0,0,0,0
AAKER,1,0,0,0,0
AAKHUS,1,0,0,0,0
AAKJER,1,0,0,0,0
AAKRE,0.8571428571428571,0,0,0.14285714285714285,0
AALAAM,0,0.75,0.25,0,0
AALANUBIA,0,0.7407407407407407,0,0,0.25925925925925924
AALBERG,1,0,0,0,0
AALBORG,1,0,0,0,0
AALDERINK,1,0,0,0,0
AALEN,0,1,0,0,0
AALFS,0.9625,0,0,0,0.0375
AALGAARD,1,0,0,0,0
AALO,0,1,0,0,0
AALTO,0.9896907216494846,0,0,0,0.010309278350515464
AAMAR,0.36363636363636365,0,0,0,0.6363636363636364
AAMER,0.10526315789473684,0.02631578947368421,0,0.4473684210526316,0.42105263157894735
AAMIR,0.10606060606060606,0.06060606060606061,0.030303030303030304,0.6136363636363636,0.1893939393939394
AAMLAND,0.9104477611940298,0,0.08955223880597014,0,0
AAMODT,1,0,0,0,0
AAMOLD,0.8409090909090909,0,0.1590909090909091,0,0
AAMOTH,1,0,0,0,0
AANDALEN,1,0,0,0,0
AANDERUD,1,0,0,0,0
AANENSEN,0.8863636363636364,0,0,0,0.11363636363636363
AANENSON,1,0,0,0,0
AANERUD,0.8761061946902655,0,0.061946902654867256,0,0.061946902654867256
AANES,1,0,0,0,0
AANONSEN,0.9556962025316456,0,0,0.04430379746835443,0
AANONSON,0.6842105263157895,0,0,0,0.3157894736842105
AANSTOOS,1,0,0,0,0
AARABI,0.48214285714285715,0.5178571428571429,0,0,0
AARDAL,1,0,0,0,0
